 平方和 自由度 平均平方 F値 P値
回帰 273636.185303738 4 68409.0463259345 195.267902032496 9.67567302752812e-13
残差 5255.01469626202 15 350.334313084135 NA NA
全体 278891.2 19 14678.4842105263 NA NA
