 偏回帰係数 標準誤差 t値 P値 標準化偏回帰係数 トレランス
PC1 -0.295510131429769 0.0135585224824978 -21.7951573861556 2.48147811860855e-67 -0.709269082269106 1
PC2 0.175382453313179 0.0264515128032197 6.6303373503776 1.25727064142761e-10 0.21576780586242 1
PC3 0.216030238122971 0.027690735198711 7.80153493840883 6.98289764358846e-14 0.253881512668977 1
PC4 0.042668162381174 0.0295553931702133 1.44366756129559 0.149719382685182 0.0469805630746314 1
PC5 -0.104855601022473 0.0343181353652552 -3.05539913245497 0.0024186429388637 -0.0994303505245032 1
定数項 3.05849582172702 0.0350212141989259 87.33266083678 4.13332255186175e-241 NA NA
