 平方和 自由度 平均平方 F値 P値
回帰 260.34276688612 5 52.0685533772241 118.254769229692 3.35542713844768e-73
残差 155.428820857612 353 0.440308274384171 NA NA
全体 415.771587743733 358 1.16137315012216 NA NA
